Fire Emblem Musou (Japan);Fire%20Emblem%20Musou%20(Japan).zip
Fire Emblem Warriors (Europe) (En,Fr,De,Es,It);Fire%20Emblem%20Warriors%20(Europe)%20(En,Fr,De,Es,It).zip
Fire Emblem Warriors (USA);Fire%20Emblem%20Warriors%20(USA).zip
Minecraft - New Nintendo 3DS Edition (USA);Minecraft%20-%20New%20Nintendo%203DS%20Edition%20(USA).zip
Runbow Pocket Deluxe Edition (USA);Runbow%20Pocket%20Deluxe%20Edition%20(USA).zip
Xenoblade (Japan);Xenoblade%20(Japan).zip
Xenoblade Chronicles 3D (Europe) (En,Fr,De,Es,It) (Rev 1);Xenoblade%20Chronicles%203D%20(Europe)%20(En,Fr,De,Es,It)%20(Rev%201).zip
Xenoblade Chronicles 3D (Europe) (En,Fr,De,Es,It);Xenoblade%20Chronicles%203D%20(Europe)%20(En,Fr,De,Es,It).zip
Xenoblade Chronicles 3D (USA) (Beta);Xenoblade%20Chronicles%203D%20(USA)%20(Beta).zip
Xenoblade Chronicles 3D (USA) (En,Fr,Es) (Rev 1);Xenoblade%20Chronicles%203D%20(USA)%20(En,Fr,Es)%20(Rev%201).zip
Xenoblade Chronicles 3D (USA) (En,Fr,Es);Xenoblade%20Chronicles%203D%20(USA)%20(En,Fr,Es).zip
